ASSESSMENT_DESCRIPTION,TRUNC(EXECUTION_DATE),TEST_DESCRIPTION,SCORE_DESCRIPTION,RESULT_DETAILS
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_515_Default_1521_port,Fail,1521 Port is used
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_001_Version,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_010_SQL92_SECURITY_True,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_020_UTL_FILE_DIR,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_050_OS_ROLES_False,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_060_REMOTE_OS_AUTHENT_False,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_070_REMOTE_OS_ROLES_False,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_080_RESOURCE_LIMIT_True,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_090__TRACE_FILES_PUBLIC_False,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_110_PASSWORD_VERIFY_FUNCTION,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_120_Only DBA Access To LINK$,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_130_12_No authorization to BECOME USER,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_140_12_No authorization to ALTER USER,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_150_12_No Authorization To ANY Keyword Privileges,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_160_12_No Access To Users Catalog Tables,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_170_12_No Access To EXPORT IMPORT Roles,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_180_12_No Access To Some SYS Tables,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_190_12_No Access To Some SYS VIEWS,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_200_12_SEC_CASE_SENSITIVE_LOGON_True,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_210_SEC_MAX_FAILED_LOGIN_ATTEMPTS _Set_3,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_220_SEC_PROTOCOL_ERROR_FURTHER_ACTION _Set_Drop_3,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_230_SEC_PROTOCOL_ERROR_TRACE_ACTION _Set_LOG,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_240_12_Oracle default tablespace assignment,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_250_Default SID name,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_260_SEC_RETURN_SERVER_RELEASE_BANNER  Set FALSE,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_270_Default Accounts Password Changed,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_280_12_No Authorization To AUDIT SYSTEM Privilege,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_290_12_No Authorization To EXEMPT ACCESS POLICY Privilege,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_300_12_No Authorization to ALTER SYSTEM Privilege,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_310_12_No Authorization to CREATE ANY LIBRARY Privilege,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_320_12_No Authorization to GRANT ANY OBJECT PRIVILEGE,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_330_12_No Authorization to GRANT ANY ROLE,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_340_12_No Authorization to GRANT ANY PRIVILEGE,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_350_No Authorizations to the SCHEDULER$_CREDENTIAL Table,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_360_Check sys.user$mig Table Removed,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_370_12_Limit Roles Granted With ADMIN Option,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_380_12_Limit to Grant System Privileges With ADMIN Option,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_390_Limit External User Login Capability,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_400_Check Oracle Sample Users Removed,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_410_12_WITH GRANT OPTION privileges,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_420_Oracle System privileges for Developers and Analysts,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_430_system privileges granted to PUBLIC ROLE,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_440_12_object privileges granted to PUBLIC role,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_450_Oracle audit table ownership,Pass,
--AA_ORACLE_TTSPR,21/01/2026,AA_Oracle_460_Minimum SYSDBA privilege assignment,Pass,
